Rank,Gene
1503,ZBTB11
1504,PPT1
1505,TOP1
1506,ARID5A
1507,SH3BGRL
1508,CDC73
1509,TAF11
1510,NDUFS8
1511,CNIH4
1512,ACIN1
1513,PPP6C
1514,ZAP70
1515,CCZ1B
1516,RPGR
1517,POLR1D
1518,SYNRG
1519,CSTF2T
1520,NOLC1
1521,RNASEH2B
1522,HIP1
1523,IDH3G
1524,MAP3K13
1525,BST2
1526,RASA1
1527,RSF1
1528,UBLCP1
1529,RBM25
1530,NUDT3
1531,ATXN1
1532,LMAN1
1533,ZNF148
1534,NIPBL
1535,PSMA1
1536,ANKRD17
1537,UQCRFS1
1538,RBBP7
1539,TLN1
1540,DCTN3
1541,SNX6
1542,AHSA1
1543,GCC2
1544,SCAMP2
1545,DHX8
1546,BORCS7
1547,WNK1
1548,GMCL1
1549,HPS3
1550,GCLM
1551,CHURC1
1552,NACC2
1553,ZFC3H1
1554,POLR2K
1555,BACH1
1556,RXRB
1557,AP2S1
1558,DCTN1
1559,SEMA4D
1560,SHISA5
1561,HYPK
1562,MPC1
1563,SEC22C
1564,PSMB8
1565,PSMB1
1566,UFSP2
1567,HAUS3
1568,CD164
1569,CHMP2B
1570,EIF3D
1571,IMMT
1572,ZNFX1
1573,NDUFAF3
1574,CPSF6
1575,ACADVL
1576,NONO
1577,HMCES
1578,CWC25
1579,NCBP2-AS2
1580,CMTM6
1581,METTL17
1582,TAF1D
1583,CTNNB1
1584,METTL15
1585,NR1H2
1586,ZC3H13
1587,VPS29
1588,DHRS7
1589,KMT2C
1590,FKBP2
1591,ZFAND5
1592,YIF1A
1593,OXA1L
1594,CISD3
1595,RABL6
1596,LONP2
1597,PPP6R2
1598,TPRG1L
1599,VPS4A
1600,LMBRD1
1601,TAF3
1602,MRPL44
1603,PNPLA2
1604,GTF2F1
1605,AAAS
1606,SDHC
1607,NUDC
1608,SLC25A38
1609,AC245297.3
1610,KAT2A
1611,TSR3
1612,RABEP1
1613,ACD
1614,SHOC2
1615,MBNL2
1616,DDX27
1617,DOCK11
1618,BMI1
1619,RNF114
1620,BCL7C
1621,COMMD5
1622,CUL4A
1623,MESD
1624,USP11
1625,SMAD2
1626,AKAP11
1627,RTL8A
1628,TTC1
1629,DCP1A
1630,MT-CO3
1631,KDELR1
1632,COX16
1633,LUC7L
1634,PAFAH1B1
1635,HSPB11
1636,E2F4
1637,TMEM147
1638,SZRD1
1639,EIF3A
1640,KIAA1109
1641,SNF8
1642,RSL1D1
1643,XRCC5
1644,SCP2
1645,TYK2
1646,BEST1
1647,NME4
1648,UBE2D2
1649,GATAD2B
1650,LTK
1651,RNF115
1652,PSMD13
1653,COX17
1654,FAU
1655,TRIM11
1656,SFT2D1
1657,NRDC
1658,HIF1A
1659,TFIP11
1660,CENPC
1661,SCAND1
1662,PITPNA
1663,ATP6V1E1
1664,NBEAL1
1665,ATP5F1B
1666,VDAC3
1667,EFCAB14
1668,EI24
1669,ZHX1
1670,AIP
1671,KRCC1
1672,BAG5
1673,PPIL2
1674,TENT4B
1675,SLC30A5
1676,NECAP2
1677,ERO1A
1678,CTSD
1679,MAN2C1
1680,UQCRQ
1681,MR1
1682,NRAS
1683,EHD4
1684,GNL1
1685,ATP5MD
1686,SS18L1
1687,CDK5RAP3
1688,ANKRD54
1689,EIF5A
