"feature","mean","variance"
"DUSP4",-1.3542642479788e-15,0.999999999999999
"ITGA8",-0.00620340563962522,0.00452783912145169
"EZR",-5.06846727259472e-15,1
"TRAV26-2",-7.67193042270164e-06,0.999844996762484
"RBPMS2",-0.00622992544052674,0.00452786312207336
"TRAV23DV6",-0.00560448078011871,0.878100362123305
"TRBV11-3",-0.0147947041882161,0.655580074261906
"AC027607.1",-0.00627193389968561,0.00452790114017883
"PIK3R1",-1.17825584440073e-15,1
"FGFBP2",6.38606037073695e-17,0.999999999999999
"TRAV26-1",1.12574842517074e-16,1
"TRAV34",-0.0190439847067299,0.533145229249611
"DNAJA1",-2.72800188380491e-15,1
"TRBV21-1",-0.00014511140191215,0.997009787934285
"TRAV27",1.40408860940633e-16,1
"HBB",-0.0218121852265706,0.410086206945305
"YPEL5",-7.26415363394989e-15,0.999999999999997
"PCDHGB1",-0.00626599895721106,0.00452789576898264
"CD180",-0.00626980888911949,0.00452789921701767
"ESRP2",-0.00626971151907905,0.00452789912889658
"AL358472.3",-0.00627114458099795,0.00452790042583549
"CCR8",-0.0237623831417631,0.161554961046507
"CTSW",-2.43249268686917e-15,1
"SAT1",1.45728569780365e-15,0.999999999999998
"AC254562.3",-0.00627194306376379,0.00452790114847244
"TRAV6",-0.000262590210811067,0.99462863387264
"HDC",-0.00741089993581091,0.00679355157263231
"HLA-DRB1",1.23146826052271e-14,0.999999999999997
"ZNF521",-0.00755390448831832,0.00679374573189162
"CD7",4.28514755094539e-15,0.999999999999997
"CELF4",-0.00754897642164434,0.00679373904094116
"TRAV9-2",-2.00688079809133e-17,0.999999999999999
"MYO16",-0.0062600765601135,0.00452789040914336
"LINC01727",-0.00626017954486792,0.00452789050234575
"DIRAS3",-0.0125305506539637,0.0226719362058835
"TRAV22",-2.83508623964511e-16,1
"TRAV24",-3.13651998653542e-17,0.999999999999999
"TRAV8-6",4.9361862631978e-17,1
"LDHA",2.69957079794879e-16,1
"AC008764.4",-0.00624345018395715,0.0045278753620936
"IGLVI-70",-0.00616691661976148,0.00452780609871496
"PTGDS",-0.0239342075053988,0.293925560562839
"HSPE1",-1.50033588345751e-14,1
"AC133919.2",-0.00625977867925216,0.00452789013955774
"AC093535.1",-0.00627209263877038,0.00452790128383971
"CD163",-0.00626190397046076,0.00452789206297095
"AL138995.1",-0.00624070278674785,0.0045278728756719
"AC011455.1",-0.00627184867294156,0.00452790106304756
"TRAV1-2",5.4106711198072e-18,0.999999999999998
"MT2A",1.08311632791673e-16,0.999999999999999
"AF106564.1",-0.00626977748922066,0.00452789918860038
"TNF",-5.58904378961629e-16,1
"DDIT4",3.23468951336134e-15,0.999999999999998
"ARHGAP24",-0.0120876798239158,0.0204024761578668
"NKG7",1.9270590714953e-14,0.999999999999999
"Z82243.1",-0.00755234769336069,0.00679374361819462
"TLR10",-0.0111185153163681,0.0181316134812775
"CXCL13",-1.17182886826137e-16,1
"TRAV8-1",1.38169789431068e-16,0.999999999999999
"PNMT",-0.00620334617979127,0.00452783906764017
"AL158834.2",-0.00627209163609138,0.00452790128293227
"LITAF",-9.3030577670651e-16,1
"FCN3",-0.0182696869727351,0.061307993159402
"LINC02099",-0.0229631794188456,0.13646955417107
"IL13",-0.0182664990695513,0.0613079541419026
"VCAM1",-1.24674237737737e-15,1
"IFNG",1.50079792336264e-15,0.999999999999997
"HBA2",-0.0237422643985219,0.198032672390556
"KIT",-0.0197503930644776,0.0795112091271461
"RETN",-0.00621703928449665,0.00452785145999613
"AL034345.2",-0.0075365598690107,0.00679372218271418
"SLC2A3",1.28814072614825e-17,0.999999999999999
"PTGIR",-0.0121201599617456,0.0204026085331183
"FAM177A1",1.95529366988398e-16,1
"PTGS2",-0.0126119341064782,0.0226723047696413
"AC016590.3",-0.00621355285121617,0.00452784830474791
"ADAM23",-0.0158023980111819,0.040843549910561
"TXNIP",-3.24384229863347e-16,0.999999999999999
"TRAV25",-0.00986939477923796,0.777274591184703
"IGHV1-69-2",-0.0102789915939884,0.0135958145514204
"CCDC87",-0.00626370514431798,0.00452789369305452
"LINC02446",-2.01408498557165e-16,1
"EGR1",1.30287856090222e-16,1
"HSPD1",3.74275424563239e-16,1
"FCER1G",1.44962309055377e-16,1
"ZFP36L1",-2.64697269883284e-15,0.999999999999999
"OR56B1",-0.00627041114500389,0.00452789976206675
"DUSP5",3.13196402825082e-16,1
"AC068870.2",-0.00626299779278043,0.00452789305289301
"MT1H",-0.0126751585374482,0.0226725910981444
"SIGLEC6",-0.00627160707423258,0.00452790084439768
"TAGLN2",4.21619216530575e-15,0.999999999999998
"CCL3",-1.32441581824759e-16,1
"SELENBP1",-0.00625567090342852,0.0045278864219741
"AREG",1.29665584983471e-15,0.999999999999999
"GPX2",-0.00752432754526565,0.00679370557463927
"MCL1",1.10281394453051e-15,1
"HP",-0.0172080491331963,0.0522095348069492
"COBLL1",-0.0160607708398536,0.0431158355858803
"HLA-DRA",-8.30163374039729e-16,0.999999999999999
"ZNF860",-0.00624566536071381,0.00452787736685102
"SYT14",-0.0116205159016259,0.0181334319212
"PRG4",-0.00998832224846333,0.0135950249971741
"SOX4",-0.00995963372024225,0.772925130805588
"IGLV8-61",-0.0181500759332339,0.0590345814632481
"HSPH1",-7.04903199903875e-15,1
