"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
5.08233730537558e-71,0.287774650791819,0.386,0.273,9.61832335042328e-67,"0","PPP1CB","CD8_Memory_GPR183"
1.42017454781037e-58,0.287773176880505,0.319,0.226,2.68768033173113e-54,"0","IL21R","CD8_Memory_GPR183"
6.05166828710825e-44,0.287012797809551,0.251,0.181,1.14527822333524e-39,"0","METAP2","CD8_Memory_GPR183"
2.35301690973794e-96,0.286416548244865,0.792,0.574,4.45308450167905e-92,"0","ZNF331","CD8_Memory_GPR183"
9.97468301341656e-46,0.286357931695365,0.254,0.182,1.88770876028908e-41,"0","FBXO34","CD8_Memory_GPR183"
2.96956359941897e-62,0.285169513521933,0.331,0.234,5.6198991119004e-58,"0","MRPL33","CD8_Memory_GPR183"
3.68380706236159e-56,0.285077741162746,0.289,0.204,6.97160486551932e-52,"0","TM2D3","CD8_Memory_GPR183"
1.04111843055613e-59,0.285062165174027,0.358,0.261,1.97031662982747e-55,"0","NASP","CD8_Memory_GPR183"
1.00008584435626e-56,0.284825327801314,0.295,0.208,1.89266246044423e-52,"0","PFDN2","CD8_Memory_GPR183"
1.83360861201427e-68,0.283807557089976,0.41,0.296,3.470104298237e-64,"0","MOB4","CD8_Memory_GPR183"
8.15558726892836e-75,0.283013584844831,0.434,0.312,1.54344489064469e-70,"0","SF3A1","CD8_Memory_GPR183"
3.70668162187579e-58,0.282845621317316,0.304,0.213,7.01489496939994e-54,"0","NDUFB6","CD8_Memory_GPR183"
2.86800533433055e-101,0.280298416741853,0.665,0.483,5.42770009522057e-97,"0","ATP6V1G1","CD8_Memory_GPR183"
3.80702670217595e-49,0.280142769066421,0.25,0.176,7.20479803386799e-45,"0","MRPL47","CD8_Memory_GPR183"
3.85558456283869e-75,0.279347872728718,0.525,0.389,7.29669378517223e-71,"0","TUBA1A","CD8_Memory_GPR183"
2.17617204865269e-73,0.277133043100473,0.438,0.315,4.11840560207521e-69,"0","RPN1","CD8_Memory_GPR183"
2.14282910491313e-86,0.276765623980211,0.626,0.459,4.05530408104811e-82,"0","NR3C1","CD8_Memory_GPR183"
