"Rank","Gene"
1104,"AC087362.2"
1105,"AP001469.3"
1106,"CTAG2"
1107,"AC092802.1"
1108,"AC073610.3"
1109,"COL5A2"
1110,"IGHV6-1"
1111,"ZEB2"
1112,"AL356019.2"
1113,"CCDC9B"
1114,"HLA-DQB1"
1115,"BCAS1"
1116,"LINC02531"
1117,"AC020922.1"
1118,"LRRN1"
1119,"AC021660.2"
1120,"AC244453.2"
1121,"IGKV2-30"
1122,"PDE3B"
1123,"WNK2"
1124,"CLIC3"
1125,"TYMS"
1126,"SPESP1"
1127,"FN1"
1128,"AL031705.1"
1129,"AC239803.3"
1130,"AC012213.2"
1131,"AL139125.1"
1132,"AC112187.3"
1133,"PDE7B"
1134,"RSRP1"
1135,"PCDHGA3"
1136,"CD83"
1137,"AC107959.4"
1138,"AC012184.1"
1139,"AC026367.3"
1140,"FAM160A1-DT"
1141,"AC007040.2"
1142,"AC078883.2"
1143,"AC104662.2"
1144,"CARD10"
1145,"HLA-DPA1"
1146,"ODC1"
1147,"RCN3"
1148,"MIR155HG"
1149,"WDR88"
1150,"RNF213"
1151,"HOXA11-AS"
1152,"LINC00310"
1153,"MYT1"
1154,"AL442128.2"
1155,"ACTG2"
1156,"AC084809.1"
1157,"COL3A1"
1158,"FAM198A"
1159,"KIR2DL4"
1160,"GTSCR1"
1161,"IGHV1-2"
1162,"ETS1"
1163,"AL021368.2"
1164,"C1QL4"
1165,"LRP3"
1166,"LINC01556"
1167,"GRID1"
1168,"AC024896.1"
1169,"AC024619.3"
1170,"AL391832.1"
1171,"EML4"
1172,"PSMB9"
1173,"AC079035.1"
1174,"CCR6"
1175,"PRRG2"
1176,"SUN3"
1177,"AC105942.1"
1178,"GBP1"
1179,"KLF4"
1180,"AC046158.1"
1181,"RAB40AL"
1182,"IGKV2-29"
1183,"AL365226.1"
1184,"FTL"
1185,"NFKBIZ"
1186,"AC239800.2"
1187,"AC138904.1"
1188,"AC243829.2"
1189,"PRDM1"
1190,"PCP2"
1191,"AL732292.2"
1192,"LINC01711"
1193,"LBH"
1194,"GOLGA8Q"
1195,"MKRN3"
1196,"AC098934.4"
1197,"UCP2"
1198,"GDF6"
1199,"IGLV3-21"
1200,"AL512408.1"
1201,"IGKV1-33"
1202,"TMEM110-MUSTN1"
1203,"AC124242.1"
1204,"AC073575.2"
1205,"TRBJ1-1"
1206,"TRGV1"
1207,"AL162274.1"
1208,"ZNF727"
1209,"HIF1A-AS1"
1210,"AC034243.1"
1211,"AC146944.4"
1212,"AC011773.4"
1213,"ZNF629"
1214,"AP001257.1"
1215,"LINC01348"
1216,"SMIM33"
1217,"SNAP25-AS1"
1218,"ITPKB-AS1"
1219,"AL133230.1"
1220,"PSMD6-AS1"
1221,"TNFRSF10D"
1222,"HIST1H2AD"
1223,"ITIH5"
1224,"AC126755.2"
1225,"STEAP4"
1226,"CERS3"
1227,"C2orf72"
1228,"AC015849.1"
1229,"AC092436.4"
1230,"CCR9"
1231,"HLA-DPB1"
1232,"TRAV7"
1233,"AC008770.2"
1234,"IGLV3-1"
1235,"AC011503.1"
1236,"LINC01238"
1237,"AC012640.1"
1238,"AC005253.2"
1239,"AC083843.2"
1240,"CCL2"
1241,"MEFV"
1242,"SGK1"
1243,"AC006547.1"
1244,"SYNE4"
1245,"RASD1"
1246,"AC009908.1"
1247,"IFRD1"
1248,"CTDSPL"
1249,"PRR33"
1250,"LINC01301"
1251,"CD160"
1252,"AC025442.1"
1253,"FOXD4L1"
1254,"AL391845.1"
1255,"AL139385.1"
1256,"AC127024.5"
1257,"AC087491.1"
1258,"ASB15"
1259,"AC008966.2"
1260,"AC022730.4"
1261,"AC004477.3"
1262,"APOC1"
1263,"AC068722.2"
1264,"IGLV9-49"
1265,"CATSPER1"
1266,"NCL"
1267,"FOXD3-AS1"
1268,"PDE4D"
1269,"GLIPR1L1"
1270,"PRND"
1271,"CABP4"
1272,"AC084125.4"
1273,"AC092718.8"
1274,"C19orf71"
1275,"AL592430.1"
1276,"AC010273.1"
1277,"ELFN2"
1278,"IGKC"
1279,"AL109811.1"
1280,"AC007405.3"
1281,"CD79A"
1282,"CD1D"
1283,"TIPARP"
1284,"BIK"
1285,"AP000911.2"
1286,"AC067750.1"
1287,"AC008897.3"
1288,"EOMES"
1289,"IGHV2-5"
1290,"AP001318.1"
1291,"FYB1"
1292,"CX3CR1"
1293,"AL358072.1"
1294,"TREML2"
1295,"ALB"
1296,"FXYD5"
1297,"LINC01719"
1298,"PFKFB3"
1299,"DNAJB6"
1300,"KIAA1551"
1301,"AC012508.2"
1302,"FUS"
